nama_variabel,nama_variabel_turunan,nama_tahun,nama_turunan_tahun,data_content,nama_item_vertical_variabel
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,1349.775,KALIMANTAN TIMUR
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,164.728,KALIMANTAN UTARA
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,0,SULAWESI UTARA
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,244.074,SULAWESI TENGAH
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,49.818,SULAWESI SELATAN
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,71.278,SULAWESI TENGGARA
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,0,GORONTALO
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,282.738,SULAWESI BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,14.74,MALUKU
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,0,MALUKU UTARA
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,53.716,PAPUA BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,93.476,PAPUA
Produksi Tanaman Perkebunan,Kelapa Sawit,2013,Tahun,27782.003,INDONESIA
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,853.855,ACEH
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,4753.488,SUMATERA UTARA
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,1082.823,SUMATERA BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,7037.636,RIAU
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,1857.26,JAMBI
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,2852.988,SUMATERA SELATAN
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,833.41,BENGKULU
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,447.978,LAMPUNG
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,538.724,KEP. BANGKA BELITUNG
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,38.939,KEP. RIAU
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,0,DKI JAKARTA
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,33.518,JAWA BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,0,JAWA TENGAH
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,0,DI YOGYAKARTA
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,0,JAWA TIMUR
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,28.153,BANTEN
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,0,BALI
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,0,NUSA TENGGARA BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,0,NUSA TENGGARA TIMUR
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,1898.871,KALIMANTAN BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,3312.408,KALIMANTAN TENGAH
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,1316.224,KALIMANTAN SELATAN
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,1599.895,KALIMANTAN TIMUR
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,0,KALIMANTAN UTARA
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,0,SULAWESI UTARA
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,259.361,SULAWESI TENGAH
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,52.606,SULAWESI SELATAN
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,75.248,SULAWESI TENGGARA
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,0,GORONTALO
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,300.396,SULAWESI BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,15.73,MALUKU
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,0,MALUKU UTARA
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,56.883,PAPUA BARAT
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,98.086,PAPUA
Produksi Tanaman Perkebunan,Kelapa Sawit,2014,Tahun,29344.48,INDONESIA
